"","id","huml","humw","ulnal","ulnaw","feml","femw","tibl","tibw","tarl","tarw","type","length.mean","diameter.mean"
"263",262,33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29,"P",27.248,1.814
"264",263,31.72,2.64,40,1.99,20.36,1.59,32.21,1.62,17.72,1.52,"P",28.402,1.872
"265",264,9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23,"P",13.902,1.662
"266",265,44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6,"P",42.036,3.43
"267",266,18.46,1.79,21.12,1.47,18.83,1.21,26.33,1.05,11.41,1.56,"P",19.23,1.416
"268",267,18.55,2.12,21.08,1.41,18.19,1.3,25.97,1.17,11.26,1.57,"P",19.01,1.514
"269",268,27.57,2.67,31.6,2.12,18.92,1.52,30.42,1.58,12.46,1.46,"P",24.194,1.87
"270",269,27.07,2.66,31.95,1.87,18.8,1.51,26.38,1.33,12.52,1.16,"P",23.344,1.706
"271",270,26.92,2.73,31.54,2.01,19.1,1.59,26.68,1.35,13.21,1.23,"P",23.49,1.782
"272",271,49.12,3.59,60.95,2.99,26.35,2,37.29,1.81,10.39,2.03,"P",36.82,2.484
"273",272,48.8,3.78,59.47,3.17,26.14,2.24,36.01,1.63,11.65,2,"P",36.414,2.564
"274",273,47.17,3.96,56.57,2.87,33.6,2.68,50.66,2.49,32.03,2.06,"P",44.006,2.812
"275",274,37.86,3.24,46.72,2.63,27.52,2.26,42.49,1.89,26.88,1.54,"P",36.294,2.312
"276",275,39.98,3.34,47.5,2.64,28.57,2.53,42.96,2.2,27.66,1.67,"P",37.334,2.476
"277",276,44.18,3.88,50.72,3.49,39.58,3.9,50.89,3.61,35.14,2.82,"P",44.102,3.54
"278",277,41.36,3.52,49.34,2.83,30.97,2.46,44.31,2.43,29.97,2.05,"P",39.19,2.658
"279",278,41.66,3.56,48.82,2.8,31.94,2.52,46.19,2.31,30.73,1.95,"P",39.868,2.628
"280",279,31.28,2.83,36.88,2.2,22.3,2.1,32.6,1.68,20.47,1.54,"P",28.706,2.07
"281",280,34.07,3.26,41.34,2.62,24.25,2.3,36.35,2.13,24.69,2.12,"P",32.14,2.486
"282",281,33.79,3.04,42.13,2.56,23.09,2.21,34.74,2.07,22.12,1.78,"P",31.174,2.332
"283",282,34.15,2.98,40.67,2.45,24.72,1.98,37.35,1.93,23.49,1.67,"P",32.076,2.202
"284",283,36.88,3.18,46.28,2.77,26.08,2.19,39.44,2.03,25.6,1.98,"P",34.856,2.43
"285",284,28.55,2.65,33.74,2.38,19.56,1.98,29.21,1.64,18.75,1.53,"P",25.962,2.036
"286",285,30.51,2.69,35.33,2.29,21.9,2.04,32.26,1.65,22.52,1.43,"P",28.504,2.02
"287",286,29.81,2.59,35.05,2.28,21.48,2.11,31.89,1.84,21.67,1.52,"P",27.98,2.068
"288",287,27.72,2.67,32,2.21,22.68,2.13,32.5,1.76,19.65,1.64,"P",26.91,2.082
"289",288,29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7,"P",27.986,2.104
"290",289,27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8,"P",27.55,2.11
"291",290,20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24,"P",19.948,1.464
"292",291,41.6,3.74,56.5,3.02,37,2.99,62.9,2.82,38.21,2.51,"P",47.242,3.016
"293",292,29.61,2.41,33.93,2.02,30.79,2.19,51.64,2.01,37.33,1.78,"SO",36.66,2.082
"294",293,30.28,2.89,35.37,2.15,31.09,2.51,53.36,2.31,39.52,1.69,"SO",37.924,2.31
"295",294,28.1,2.44,32.5,2.19,29.68,2.33,50.47,2.21,37.98,1.79,"SO",35.746,2.192
"296",295,28.66,2.48,33.24,2.02,29.33,2.26,50.64,2.05,35.99,1.85,"SO",35.572,2.132
"297",296,36.36,3.31,40.51,2.56,37.52,2.85,53.96,2.63,42.71,2.41,"SO",42.212,2.752
"298",297,37.05,3.48,41.41,2.91,37.37,3.14,61.65,2.89,44.72,2.24,"SO",44.44,2.932
"299",298,41.19,3.78,43.24,2.91,39.61,3.15,64.68,2.99,46.74,2.54,"SO",47.092,3.074
"300",299,37.71,3.55,42.47,2.89,38.12,3.13,62.45,3.06,46.41,2.42,"SO",45.432,3.01
"301",300,38.66,3.83,43.71,3.02,40.05,3.51,64.97,2.95,47.69,2.57,"SO",47.016,3.176
"302",301,21.07,2,25.36,1.7,17.66,1.72,26.28,1.35,19.43,1.36,"SO",21.96,1.626
"303",302,21.46,1.97,25.44,1.73,17.77,1.71,27.01,1.56,19.06,1.26,"SO",22.148,1.646
"304",303,22.13,2.1,26.53,1.78,17.83,1.63,26.12,1.52,18.74,1.2,"SO",22.27,1.646
"305",304,21.82,2,26.73,1.77,17.53,1.59,25.82,1.39,18.79,1.37,"SO",22.138,1.624
"306",305,16.5,1.46,19.44,1.42,15.58,1.21,26.21,1.17,18.45,1.14,"SO",19.236,1.28
"307",306,15.97,1.47,19.91,1.32,15.11,1.24,25.99,1.14,18.36,1.4,"SO",19.068,1.314
"308",307,17.13,1.49,20.38,1.33,15.24,1.16,27.96,1.2,20.1,1.24,"SO",20.162,1.284
"309",308,15.46,1.46,19.12,1.36,14.75,1.18,26.25,1.22,17.9,1.12,"SO",18.696,1.268
"310",309,21.68,1.93,24.84,1.86,20.85,1.78,35.22,1.57,24.11,1.51,"SO",25.34,1.73
"311",310,22.14,1.91,25.71,1.74,20.6,1.67,35.44,1.42,23.86,1.92,"SO",25.55,1.732
"312",311,22.26,1.77,24.58,1.67,21.28,1.68,36.06,1.43,24.14,1.41,"SO",25.664,1.592
"313",312,25.4,1.84,24.18,1.73,24.02,1.94,38.97,1.54,27.26,1.48,"SO",27.966,1.706
"314",313,24.43,2.08,25.98,1.84,23.77,1.78,39.14,1.9,27.92,1.48,"SO",28.248,1.816
"315",314,20.36,1.91,21.92,1.54,21.56,1.81,36.81,1.56,26.31,1.27,"SO",25.392,1.618
"316",315,21.31,2.24,26.66,1.87,18.99,1.64,30.64,1.43,20.76,1.18,"SO",23.672,1.672
"317",316,20.97,2.16,26.27,1.85,18.89,1.36,31.01,1.23,20.28,1.11,"SO",23.484,1.542
"318",317,21.04,2.12,26.27,1.81,18.54,1.39,29.5,1.39,19.9,1.11,"SO",23.05,1.564
"319",318,25.36,2.36,28.04,1.68,22.76,1.77,35.58,1.42,24.61,1.63,"SO",27.27,1.772
"320",319,23.88,2.4,29.16,1.74,22.84,2.02,37.24,1.54,26.15,1.32,"SO",27.854,1.804
"321",320,24.56,2.25,28.53,1.94,23.13,1.86,38.27,1.62,26.68,1.95,"SO",28.234,1.924
"322",321,24.03,2.37,29.26,1.94,22.58,1.88,37.13,1.73,25.39,1.43,"SO",27.678,1.87
"323",322,18.12,1.61,22.32,1.38,16.42,1.13,26.64,1.1,17.74,0.98,"SO",20.248,1.24
"324",323,18.69,1.75,22.76,1.57,16.75,1.3,26.6,1.05,18,0.92,"SO",20.56,1.318
"325",324,18.94,1.83,22.95,1.69,17.25,1.25,28.59,1.16,18.86,0.97,"SO",21.318,1.38
"326",325,27.9,2.51,31.56,2.07,24.08,2.28,45.9,2.09,34.98,1.6,"SO",32.884,2.11
"327",326,26.49,2.38,30.38,2.04,22.99,2.14,42.19,1.87,33.71,1.46,"SO",31.152,1.978
"328",327,26.75,2.39,30.48,1.97,23.11,2.08,44.2,1.79,34.47,1.58,"SO",31.802,1.962
"329",328,27.06,2.5,30.28,2.1,23.96,2.24,46.02,1.76,33.91,1.76,"SO",32.246,2.072
"330",329,19,1.68,24,1.45,14.86,1.23,27.19,1.01,20.05,0.86,"SO",21.02,1.246
"331",330,19.34,1.69,24.89,1.51,15.29,1.28,28.63,1.22,21.95,0.94,"SO",22.02,1.328
"332",331,20.19,1.85,26.41,1.53,15.71,1.29,29.66,1.15,21.9,1.05,"SO",22.774,1.374
"333",332,21.85,2.06,25.9,1.75,20.86,1.72,34.26,1.43,23.25,1.18,"SO",25.224,1.628
"334",333,20.8,1.95,23.44,1.6,20.67,1.45,35.52,1.45,25.41,1.36,"SO",25.168,1.562
"335",334,20.62,1.87,23.45,1.75,20.96,1.68,34.64,1.76,24.8,1.46,"SO",24.894,1.704
"336",335,22.35,2.01,25.13,1.85,21.98,1.69,36.5,1.71,26.42,1.52,"SO",26.476,1.756
"337",336,26.23,2.3,30.53,2.15,24.85,1.96,41.33,1.71,29.01,1.77,"SO",30.39,1.978
"338",337,26.32,2.34,30.17,2.18,24.74,1.91,41.6,1.77,28.98,1.88,"SO",30.362,2.016
"339",338,25.57,2.18,29.05,2.15,25.24,1.91,40.9,1.83,28.05,2,"SO",29.762,2.014
"340",339,24.67,1.9,27.06,2.1,24.7,1.86,39.72,1.99,27.22,1.7,"SO",28.674,1.91
"341",340,30.26,2.54,34.8,2.09,29.66,2.2,48.67,2.16,34.77,2,"SO",35.632,2.198
"342",341,29.38,2.44,29.84,2.44,28.95,2.13,47.18,2.19,31.46,1.88,"SO",33.362,2.216
"344",343,30.1,2.49,34.69,2.26,28.74,2.08,49.08,2.1,36.09,1.88,"SO",35.74,2.162
"345",344,31.14,2.87,37.34,2.81,28.44,2.31,48.65,2.3,33.98,1.97,"SO",35.91,2.452
"346",345,32.08,2.7,38.3,2.63,28.76,2.21,49.85,1.99,35.29,1.73,"SO",36.856,2.252
"347",346,32.31,3,39.03,2.73,29.51,2.39,51.04,2.4,36.11,2.03,"SO",37.6,2.51
"348",347,23.99,2.19,28.88,1.96,23.16,1.75,38.98,1.83,27.21,1.43,"SO",28.444,1.832
"349",348,22.25,1.92,25.93,1.61,22.15,1.66,38.48,1.46,26.74,1.23,"SO",27.11,1.576
"350",349,21.88,2.02,25.45,1.68,21.64,1.73,37.26,1.38,26,1.24,"SO",26.446,1.61
"351",350,26.71,2.32,31.71,1.9,25.11,2.23,47.91,2.08,48.35,1.95,"SO",35.958,2.096
"352",351,29.18,2.39,34.32,2.04,27.66,2.09,49.66,1.96,36.26,1.7,"SO",35.416,2.036
"353",352,25.78,2.21,28.16,1.84,23.29,1.75,42.34,1.58,30.39,1.34,"SO",29.992,1.744
"354",353,26.09,2.17,28.99,1.77,27.74,2.15,46.64,2.04,32.85,1.81,"SO",32.462,1.988
"355",354,28.14,2.35,30.63,1.86,28.49,2.18,49.07,2.07,34.64,1.78,"SO",34.194,2.048
"356",355,18.68,1.62,24.78,1.4,16.16,1.12,29.67,1.06,22.09,0.78,"SO",22.276,1.196
"357",356,18.3,1.69,22.97,1.48,18.16,1.5,36.39,1.24,27.46,0.98,"SO",24.656,1.378
"358",357,20.64,1.97,26.1,1.61,20.61,1.56,40.19,1.47,30.63,1.22,"SO",27.634,1.566
"359",358,19.4,1.88,25.08,1.57,18.89,1.52,36.89,1.31,29.86,1.04,"SO",26.024,1.464
"360",359,17.32,1.83,24.34,1.36,18.36,1.2,37.26,1.3,25.03,1.05,"SO",24.462,1.348
"361",360,21.38,1.87,27.42,1.7,20.67,1.54,37.88,1.33,28.55,1.08,"SO",27.18,1.504
"362",361,20.08,2.07,25.78,1.81,20.43,1.62,38.3,1.35,30.25,1.09,"SO",26.968,1.588
"363",362,20.1,1.89,25.57,1.8,20.42,1.65,37.05,1.42,28.62,0.96,"SO",26.352,1.544
"364",363,19.96,1.88,25.19,1.66,19.53,1.48,36.65,1.4,27.65,1.11,"SO",25.796,1.506
"365",364,30.21,2.97,37.31,2.58,27.71,2,47.98,1.98,33.79,1.61,"SO",35.4,2.228
"366",365,29.52,2.92,37.47,2.37,28.22,2.25,47.49,1.98,34.6,1.63,"SO",35.46,2.23
"367",366,16.93,1.52,19.49,1.12,15.81,1.19,28.89,1.08,21.41,0.92,"SO",20.506,1.166
"368",367,13.31,1.17,16.47,1.06,12.32,0.93,22.47,0.95,15.97,0.75,"SO",16.108,0.972
"369",368,15.24,1.4,18.37,1.13,13.75,1.05,25.57,0.91,19.1,0.86,"SO",18.406,1.07
"370",369,13.48,1.27,16,1,12.67,1.1,23.12,0.88,16.34,0.89,"SO",16.322,1.028
"371",370,13.38,1.14,16.51,1.23,12.48,1.12,24.91,0.92,17.55,0.88,"SO",16.966,1.058
"372",371,13.67,1.27,17.52,1.08,12.77,1.16,25.47,0.98,18.15,1.28,"SO",17.516,1.154
"373",372,14.51,1.49,18.79,1.12,14.07,1.01,25.85,1,18.38,0.8,"SO",18.32,1.084
"374",373,14.62,1.39,19.23,1.12,14.13,0.97,26.11,1.03,18.23,0.73,"SO",18.464,1.048
"375",374,14.88,1.49,19.55,1.15,13.69,0.98,25.54,0.91,18.15,0.69,"SO",18.362,1.044
"376",375,14.61,1.37,20.3,1.23,14.28,1.04,25.09,0.88,17.39,0.79,"SO",18.334,1.062
"377",376,13.52,1.28,17.88,1.07,15.1,1.05,25.14,1.23,17.81,0.69,"SO",17.89,1.064
"378",377,12.69,1.69,17.44,1.16,11.83,1.03,23.8,0.87,16.97,0.66,"SO",16.546,1.082
"380",379,22.26,1.94,27.69,1.71,17.27,1.28,27.29,1.26,17.49,1.02,"SO",22.4,1.442
"381",380,24.84,2.32,28.88,2.01,25.65,2.01,40.2,1.83,26.66,1.65,"SO",29.246,1.964
"382",381,23.52,2.16,29.33,1.72,20.59,1.49,32.45,1.13,19.33,1,"SO",25.044,1.5
"383",382,22.55,2.27,28.3,1.76,19.89,1.52,30.95,1.39,18.68,1.06,"SO",24.074,1.6
"384",383,23.94,2.45,27.86,1.95,24.02,1.87,35.62,1.86,22.99,1.43,"SO",26.886,1.912
"385",384,48.2,4.08,61.94,3.75,40.11,3.1,62.09,3.21,37.26,2.46,"SO",49.92,3.32
"386",385,24.28,2.16,30.29,1.91,20.32,1.62,29.29,1.47,24.48,1.39,"SO",25.732,1.71
"387",386,25.24,2.42,32.13,2.1,21.14,1.69,29.58,1.57,25.49,1.42,"SO",26.716,1.84
"388",387,23.9,2.32,28.83,1.67,21.18,1.85,33.11,1.61,23.02,1.33,"SO",26.008,1.756
"389",388,23.82,2.19,29.6,1.88,20.35,1.56,28.54,1.54,23.38,1.26,"SO",25.138,1.686
"390",389,19.63,1.76,23.58,1.33,18.85,1.54,33.1,1.34,24.09,1.14,"SO",23.85,1.422
"391",390,20.43,1.59,22.68,1.39,20,1.54,35.63,1.33,25.57,1.57,"SO",24.862,1.484
"392",391,22.19,1.86,24.93,1.52,24.14,1.78,40.17,1.73,29.61,1.43,"SO",28.208,1.664
"393",392,23.27,2,24.8,1.83,26.04,1.79,41.91,1.67,29.76,1.39,"SO",29.156,1.736
"394",393,18.97,1.58,21.26,1.4,21.5,1.55,36.52,1.52,25.04,1.47,"SO",24.658,1.504
"395",394,15.99,1.35,18.32,1.13,15.84,1.19,30.05,1.23,22.94,1.08,"SO",20.628,1.196
"396",395,15.62,1.28,18.52,1.06,15.75,1.17,28.63,1.03,21.39,0.88,"SO",19.982,1.084
"398",397,16.8,1.58,19.77,1.39,16.86,1.29,29.75,1.18,21.77,1.04,"SO",20.99,1.296
"399",398,15.55,1.48,18.93,1.3,17.58,1.23,31.65,1.14,24.12,0.98,"SO",21.566,1.226
"400",399,23.32,2.06,27.9,1.84,22.49,1.66,34.77,1.42,23.05,1.18,"SO",26.306,1.632
"401",400,20.41,1.82,22.66,1.71,18.14,1.52,29.3,1.21,20.29,1.15,"SO",22.16,1.482
"402",401,21.53,1.91,25.3,1.67,20.8,1.65,34.08,1.33,23.86,1.27,"SO",25.114,1.566
"403",402,22.84,2.21,27.7,2.06,22.13,1.72,34.6,1.69,25.08,1.39,"SO",26.47,1.814
"404",403,20.95,1.89,24.12,1.66,21.24,1.84,36.71,1.53,25.99,1.23,"SO",25.802,1.63
"406",405,17.3,1.68,20.43,1.33,15.51,1.15,25.96,0.88,17.41,0.81,"SO",19.322,1.17
"407",406,16.86,1.58,20.72,1.36,14.92,1.13,24.56,0.98,16.76,0.81,"SO",18.764,1.172
"408",407,15.7,1.42,18.58,1.2,15.22,1.08,25.39,0.92,16.88,0.74,"SO",18.354,1.072
"409",408,19.54,1.86,23.35,1.47,18.34,1.46,29.05,1.35,19.68,1.08,"SO",21.992,1.444
"410",409,23.27,2.15,27.62,2.16,21.86,1.64,35.55,1.51,23.23,1.32,"SO",26.306,1.756
"411",410,23.04,2.15,28.29,1.94,21.46,1.67,33.41,1.42,22.48,1.27,"SO",25.736,1.69
"412",411,21.21,1.88,23.35,1.62,21.97,1.55,35.02,1.4,22.35,1.24,"SO",24.78,1.538
"413",412,21.92,1.8,25.73,1.49,19.98,1.35,30.47,1.36,20.11,1.25,"SO",23.642,1.45
"414",413,12.95,1.16,14.09,1.03,13.03,1.03,22.13,0.96,15.19,1.02,"SO",15.478,1.04
"415",414,13.63,1.16,15.22,1.06,13.75,0.99,23.13,0.96,15.62,1.01,"SO",16.27,1.036
"416",415,17.96,1.63,19.25,1.33,18.36,1.54,31.25,1.33,21.99,1.15,"SO",21.762,1.396
"417",416,19.21,1.64,20.76,1.49,19.24,1.45,33.21,1.28,23.6,1.15,"SO",23.204,1.402
"418",417,18.79,1.63,19.83,1.53,20.96,1.43,34.45,1.41,22.86,1.21,"SO",23.378,1.442
"419",418,20.38,1.78,22.53,1.5,21.35,1.48,36.09,1.53,25.98,1.24,"SO",25.266,1.506
"420",419,17.89,1.44,19.26,1.1,17.62,1.34,29.81,1.24,21.69,1.05,"SO",21.254,1.234
